jobId,title,genres,DegreeType
0,Mechanical Enginer,Ansys|Engineering Design|Solid state mechanics|SolidWorks|CAD,MTech
1,Mechanical Enginer,Ansys|Solid state mechanics|CAD,MTech
2,Mechanical Enginer,Solid state mechanics|Engineering Design,MTech
3,Mechanical Enginer,Solid state mechanics|CAD|Engineering Design,MTech
4,Mechanical Enginer,Solid state mechanics,BE
5,Mechanical Enginer,SolidWorks|Ansys,BE
6,Mechanical Enginer,Solid state mechanics|Engineering Design,MTech
7,Mechanical Enginer,Ansys|Solid state mechanics,MTech
8,Mechanical Enginer,SolidWorks,MTech
9,Mechanical Enginer,SolidWorks|Ansys,MTech
10,Mechanical Enginer,Solid state mechanics|CAD|Engineering Design,BE
11,Mechanical Enginer,Solid state mechanics|SolidWorks,BE
12,Mechanical Enginer,Ansys|Engineering Design|Solid state mechanics,BE
13,Mechanical Enginer,CAD,BE
14,Mechanical Enginer,SolidWorks|Ansys|Engineering Design,BE
15,Mechanical Enginer,SolidWorks|CAD,MTech
16,Mechanical Enginer,CAD|Engineering Design,BE
17,Mechanical Enginer,Solid state mechanics,BE
18,Mechanical Enginer,Solid state mechanics,MTech
19,Mechanical Enginer,SolidWorks|Solid state mechanics|CAD,MTech
20,Mechanical Enginer,Solid state mechanics|SolidWorks,BE
21,Mechanical Enginer,SolidWorks|CAD|Ansys,BE
22,Mechanical Enginer,SolidWorks,MTech
23,Mechanical Enginer,CAD|Solid state mechanics,BE
24,Mechanical Enginer,CAD|Engineering Design,BE
25,Mechanical Enginer,CAD,BE
26,Mechanical Enginer,Solid state mechanics|CAD,MTech
27,Mechanical Enginer,CAD|Engineering Design,BE
28,Mechanical Enginer,Ansys|CAD|CAD,MTech
29,Mechanical Enginer,SolidWorks|CAD,MTech
30,Mechanical Enginer,CAD,BE
31,Mechanical Enginer,Ansys|CAD,BE
32,Mechanical Enginer,Ansys|Engineering Design,BE
33,Mechanical Enginer,Solid state mechanics|CAD,MTech
34,Mechanical Enginer,CAD|Engineering Design,BE
35,Mechanical Enginer,SolidWorks|CAD,BE
36,Mechanical Enginer,Engineering Design|Ansys,BE
37,Mechanical Enginer,Solid state mechanics|Solid state mechanics,BE
38,Mechanical Enginer,Solid state mechanics|Engineering Design,MTech
39,Mechanical Enginer,CAD,BE
40,Mechanical Enginer,CAD,MTech
41,Mechanical Enginer,SolidWorks|SolidWorks|CAD,BE
42,Mechanical Enginer,CAD,BE
43,Mechanical Enginer,SolidWorks|Ansys|CAD,MTech
44,Mechanical Enginer,Solid state mechanics|CAD,BE
45,Mechanical Enginer,CAD|Engineering Design,MTech
46,Mechanical Enginer,SolidWorks|Solid state mechanics,BE
47,Mechanical Enginer,Solid state mechanics|CAD|Engineering Design,BE
48,Mechanical Enginer,SolidWorks,BE
49,Mechanical Enginer,Solid state mechanics|CAD|Engineering Design,BE
50,Mechanical Enginer,Ansys|CAD,BE
51,Mechanical Enginer,Solid state mechanics|Solid state mechanics,BE
52,Mechanical Enginer,CAD,MTech
53,Mechanical Enginer,CAD,MTech
54,Mechanical Enginer,Solid state mechanics|CAD|Engineering Design,BE
55,Mechanical Enginer,CAD|,MTech
56,Mechanical Enginer,Ansys|Solid state mechanics|CAD,MTech
57,Mechanical Enginer,CAD,BE
58,Mechanical Enginer,CAD,BE
59,Mechanical Enginer,Solid state mechanics|SolidWorks,BE
60,Mechanical Enginer,Solid state mechanics|Engineering Design,BE
61,Mechanical Enginer,Solid state mechanics,MTech
62,Mechanical Enginer,SolidWorks|CAD,MTech
63,Mechanical Enginer,CAD,BE
64,Mechanical Enginer,Solid state mechanics|Engineering Design,MTech
65,Mechanical Enginer,Solid state mechanics,BE
66,Mechanical Enginer,SolidWorks|Solid state mechanics|SolidWorks,MTech
67,Mechanical Enginer,SolidWorks,MTech
68,Mechanical Enginer,Solid state mechanics|CAD,BE
69,Mechanical Enginer,CAD,BE
70,Mechanical Enginer,CAD|Engineering Design,MTech
71,Mechanical Enginer,SolidWorks|CAD,BE
72,Mechanical Enginer,CAD,MTech
73,Mechanical Enginer,SolidWorks|Solid state mechanics|CAD,BE
74,Mechanical Enginer,CAD,MTech
75,Mechanical Enginer,Solid state mechanics|CAD,MTech
76,Mechanical Enginer,SolidWorks|CAD|Engineering Design,MTech
77,Mechanical Enginer,Solid state mechanics|CAD,MTech
78,Mechanical Enginer,CAD|Engineering Design,MTech
79,Mechanical Enginer,Solid state mechanics|CAD,BE
80,Mechanical Enginer,CAD|Engineering Design,BE
81,Mechanical Enginer,SolidWorks|Ansys|CAD,BE
82,Mechanical Enginer,Solid state mechanics|Solid state mechanics,BE
83,Mechanical Enginer,Solid state mechanics,MTech
84,Mechanical Enginer,SolidWorks|,BE
85,Mechanical Enginer,CAD|SolidWorks,MTech
86,Mechanical Enginer,Solid state mechanics|SolidWorks|Engineering Design,BE
87,Mechanical Enginer,Solid state mechanics|CAD|Engineering Design,MTech
88,Mechanical Enginer,SolidWorks|Ansys,MTech
89,Mechanical Enginer,Solid state mechanics|CAD,MTech
90,Mechanical Enginer,SolidWorks|CAD,BE
91,Mechanical Enginer,SolidWorks,BE
92,Mechanical Enginer,Ansys,BE
93,Mechanical Enginer,CAD,MTech
94,Mechanical Enginer,Ansys|Solid state mechanics|SolidWorks|Engineering Design,BE
95,Mechanical Enginer,Solid state mechanics,PhD
96,Mechanical Enginer,CAD,MTech
97,Mechanical Enginer,Solid state mechanics,MTech
98,Mechanical Enginer,CAD|Engineering Design,MTech
99,Mechanical Enginer,Solid state mechanics|CAD,MTech
100,Mechanical Enginer,Ansys|Solid state mechanics|SolidWorks,MTech
101,Mechanical Enginer,SolidWorks|CAD|Engineering Design,MTech
102,Mechanical Enginer,SolidWorks|CAD|,MTech
103,Mechanical Enginer,SolidWorks|Ansys|Solid state mechanics|SolidWorks,BE
104,Mechanical Enginer,CAD|,BE
105,Mechanical Enginer,CAD,MTech
106,Mechanical Enginer,CAD,MTech
107,Mechanical Enginer,SolidWorks|CAD,BE
108,Mechanical Enginer,Solid state mechanics|Engineering Design,BE
109,Mechanical Enginer,Solid state mechanics,BE
110,Mechanical Enginer,Ansys|Solid state mechanics|CAD,BE
111,Mechanical Enginer,CAD,BE
112,Mechanical Enginer,Solid state mechanics|Engineering Design,BE
113,Mechanical Enginer,CAD||Engineering Design,BE
114,Mechanical Enginer,CAD,BE
115,Mechanical Enginer,Solid state mechanics,BE
116,Mechanical Enginer,Ansys|Solid state mechanics|CAD,BE
117,Mechanical Enginer,CAD,BE
118,Mechanical Enginer,CAD|Engineering Design,BE
119,Mechanical Enginer,Engineering Design|Ansys,MTech
120,Mechanical Enginer,Solid state mechanics|CAD,MTech
121,Mechanical Enginer,Ansys,BE
122,Mechanical Enginer,Solid state mechanics,MTech
123,Mechanical Enginer,SolidWorks,MTech
124,Mechanical Enginer,Engineering Design|SolidWorks,BE
125,Mechanical Enginer,CAD,BE
126,Mechanical Enginer,CAD|Engineering Design,MTech
127,Mechanical Enginer,Solid state mechanics,BE
128,Mechanical Enginer,Solid state mechanics,MTech
129,Mechanical Enginer,SolidWorks|Solid state mechanics|CAD,MTech
130,Mechanical Enginer,Ansys|Solid state mechanics,MTech
131,Mechanical Enginer,CAD,MTech
132,Mechanical Enginer,CAD,MTech
133,Mechanical Enginer,SolidWorks|CAD,BE
134,Mechanical Enginer,Ansys|CAD,BE
135,Mechanical Enginer,SolidWorks|CAD|Engineering Design,MTech
136,Mechanical Enginer,CAD|SolidWorks,MTech
137,Mechanical Enginer,SolidWorks|Ansys|Solid state mechanics,MTech
138,Mechanical Enginer,CAD,BE
139,Mechanical Enginer,Ansys|CAD,MTech
140,Mechanical Enginer,Solid state mechanics|CAD,MTech
141,Mechanical Enginer,Solid state mechanics|,BE
142,Mechanical Enginer,Ansys|Solid state mechanics,BE
143,Mechanical Enginer,SolidWorks|CAD,MTech
144,Mechanical Enginer,SolidWorks|Ansys|CAD,BE
145,Mechanical Enginer,CAD,MTech
146,Mechanical Enginer,SolidWorks|Engineering Design,MTech
147,Mechanical Enginer,SolidWorks|Engineering Design|Ansys,MTech
148,Mechanical Enginer,SolidWorks|Solid state mechanics,BE
149,Mechanical Enginer,SolidWorks,BE
150,Mechanical Enginer,Solid state mechanics|SolidWorks|CAD,MTech
151,Mechanical Enginer,SolidWorks|CAD|Engineering Design,BE
152,Mechanical Enginer,Ansys|Solid state mechanics|CAD,MTech
153,Mechanical Enginer,SolidWorks|Ansys|SolidWorks|,MTech
154,Mechanical Enginer,Solid state mechanics|CAD,MTech
155,Mechanical Enginer,SolidWorks|CAD|,BE
156,Mechanical Enginer,SolidWorks|CAD,BE
157,Mechanical Enginer,Solid state mechanics,MTech
158,Mechanical Enginer,CAD,MTech
159,Mechanical Enginer,Solid state mechanics,MTech
160,Mechanical Enginer,SolidWorks,BE
161,Mechanical Enginer,Solid state mechanics|CAD,BE
162,Mechanical Enginer,CAD|Engineering Design,BE
163,Mechanical Enginer,Solid state mechanics|Engineering Design,BE
164,Powertrain Enginer,SolidWorks|Solid state mechanics,BE
165,Powertrain Enginer,CAD|Engineering Design,BE
166,Powertrain Enginer,Solid state mechanics|SolidWorks,BE
167,Powertrain Enginer,CAD,BE
168,Powertrain Enginer,SolidWorks|Solid state mechanics,BE
169,Powertrain Enginer,Solid state mechanics|Engineering Design,BE
170,Powertrain Enginer,Solid state mechanics,BE
171,Powertrain Enginer,CAD|SolidWorks,BE
172,Powertrain Enginer,Solid state mechanics|CAD,BE
173,Powertrain Enginer,Engineering Design,MTech
174,Powertrain Enginer,CAD|Engineering Design,BE
175,Powertrain Enginer,CAD,MTech
176,Powertrain Enginer,Solid state mechanics|CAD,BE
177,Powertrain Enginer,Solid state mechanics|CAD|Engineering Design,BE
178,Powertrain Enginer,SolidWorks|CAD,BE
179,Powertrain Enginer,SolidWorks|Ansys|CAD|Solid state mechanics,MTech
180,Powertrain Enginer,CAD|SolidWorks|Engineering Design,MTech
181,Powertrain Enginer,Ansys,BE
182,Powertrain Enginer,CAD|SolidWorks,BE
183,Powertrain Enginer,CAD|Engineering Design,MTech
184,Powertrain Enginer,Solid state mechanics,PhD
185,Powertrain Enginer,SolidWorks,BE
186,Powertrain Enginer,Solid state mechanics|CAD,BE
187,Powertrain Enginer,CAD,BE
188,Powertrain Enginer,CAD|Engineering Design,BE
189,Powertrain Enginer,SolidWorks|Ansys|CAD,MTech
190,Powertrain Enginer,CAD,BE
191,Powertrain Enginer,SolidWorks,BE
192,Powertrain Enginer,CAD,BE
193,Powertrain Enginer,Ansys|Solid state mechanics|SolidWorks,BE
194,Powertrain Enginer,CAD,BE
195,Powertrain Enginer,CAD,BE
196,Powertrain Enginer,CAD|Engineering Design,PhD
197,Powertrain Enginer,Solid state mechanics,BE
198,Powertrain Enginer,CAD,MTech
199,Powertrain Enginer,Solid state mechanics|CAD,MTech
200,Powertrain Enginer,CAD,BE
201,Powertrain Enginer,SolidWorks,BE
202,Powertrain Enginer,CAD|Engineering Design,BE
203,Powertrain Enginer,Solid state mechanics,MTech
204,Powertrain Enginer,Solid state mechanics|CAD|Engineering Design,MTech
205,Powertrain Enginer,CAD,BE
206,Powertrain Enginer,SolidWorks,BE
207,Powertrain Enginer,CAD,BE
208,Powertrain Enginer,CAD,BE
209,Powertrain Enginer,Ansys|Solid state mechanics,BE
210,Powertrain Enginer,Solid state mechanics|CAD|Engineering Design,BE
211,Powertrain Enginer,CAD,BE
212,Powertrain Enginer,Solid state mechanics,MTech
213,Powertrain Enginer,Solid state mechanics|CAD,MTech
214,Powertrain Enginer,SolidWorks|Solid state mechanics|Engineering Design,MTech
215,Powertrain Enginer,Solid state mechanics|Engineering Design,MTech
216,Powertrain Enginer,Ansys|Solid state mechanics,BE
217,Powertrain Enginer,Engineering Design|Solid state mechanics|Engineering Design,BE
218,Powertrain Enginer,SolidWorks|Ansys,BE
219,Powertrain Enginer,Solid state mechanics|CAD,MTech
220,Powertrain Enginer,CAD,BE
221,Powertrain Enginer,Solid state mechanics|Solid state mechanics|CAD,BE
222,Powertrain Enginer,Engineering Design|Solid state mechanics,BE
223,Powertrain Enginer,SolidWorks|CAD,BE
224,Powertrain Enginer,CAD,MTech
225,Powertrain Enginer,SolidWorks|CAD,BE
226,Powertrain Enginer,Solid state mechanics,MTech
227,Powertrain Enginer,CAD|Engineering Design,MTech
228,Powertrain Enginer,Solid state mechanics|Solid state mechanics,BE
229,Powertrain Enginer,SolidWorks,MTech
230,Powertrain Enginer,Solid state mechanics|Engineering Design,BE
231,Powertrain Enginer,CAD|SolidWorks,BE
232,Powertrain Enginer,CAD,BE
233,Powertrain Enginer,Solid state mechanics,BE
234,Powertrain Enginer,Solid state mechanics|CAD,BE
235,Powertrain Enginer,Ansys,BE
236,Powertrain Enginer,Ansys|Solid state mechanics|CAD|Engineering Design,BE
237,Powertrain Enginer,SolidWorks|CAD,MTech
238,Powertrain Enginer,SolidWorks|Ansys|CAD,BE
239,Powertrain Enginer,CAD,MTech
240,Powertrain Enginer,Solid state mechanics|CAD,MTech
241,Powertrain Enginer,CAD,BE
242,Powertrain Enginer,CAD,BE
243,Powertrain Enginer,CAD|Engineering Design,BE
244,Powertrain Enginer,CAD|Engineering Design,BE
245,Powertrain Enginer,Solid state mechanics,BE
246,Powertrain Enginer,SolidWorks|CAD,BE
247,Powertrain Enginer,CAD,BE
248,Powertrain Enginer,CAD|Engineering Design,BE
249,Powertrain Enginer,CAD,MTech
250,Powertrain Enginer,Solid state mechanics|CAD,BE
251,Powertrain Enginer,CAD|SolidWorks|CAD,MTech
252,Powertrain Enginer,Solid state mechanics,BE
253,Powertrain Enginer,Solid state mechanics,BE
254,Powertrain Enginer,Solid state mechanics|Engineering Design,BE
255,Powertrain Enginer,CAD,BE
256,Powertrain Enginer,Solid state mechanics,BE
257,Powertrain Enginer,CAD,MTech
258,Powertrain Enginer,CAD|,BE
259,Powertrain Enginer,Solid state mechanics|CAD|Engineering Design,BE
260,Powertrain Enginer,CAD,BE
261,Powertrain Enginer,SolidWorks|CAD,BE
262,Powertrain Enginer,CAD|SolidWorks,MTech
263,Powertrain Enginer,Solid state mechanics|Engineering Design,MTech
264,Powertrain Enginer,SolidWorks,BE
265,Powertrain Enginer,Solid state mechanics|Engineering Design,BE
266,Powertrain Enginer,SolidWorks|CAD,BE
